Date,Open,High,Low,Close,Adj Close,Volume,,,,,Name,High,Low,Close
5/22/2015,80.34999847,81.30999756,80.25,80.54000092,80.54000092,19567900,,,,,Akash ,81.30999756,80.25,80.54000092
5/26/2015,80.43000031,80.59999847,79.08000183,79.33000183,79.33000183,16321300,,,,,Pavan,80.59999847,79.08000183,79.33000183
5/27/2015,79.59999847,80.66000366,79.43000031,80.55000305,80.55000305,14160900,,,,,Gaurav,80.66000366,79.43000031,80.55000305
5/28/2015,80.25,81.06999969,80,80.15000153,80.15000153,11982000,,,,,Abhishek,81.06999969,80,80.15000153
5/29/2015,79.94999695,80.06999969,78.87999725,79.19000244,79.19000244,16134600,,,,,Neha,80.06999969,78.87999725,79.19000244
6/1/2015,79.30000305,80.37999725,78.66000366,80.29000092,80.29000092,18119000,,,,,Shikha,80.37999725,78.66000366,80.29000092
6/2/2015,79.76000214,81.34999847,79.55999756,80.44000244,80.44000244,18923300,,,,,Shikha,81.34999847,79.55999756,80.44000244
6/3/2015,81.34999847,82.52999878,81.25,82.44000244,82.44000244,31775000,,,,,Shikha,82.52999878,81.25,82.44000244
6/4/2015,82.13999939,82.94999695,81.51000214,82.05000305,82.05000305,20863900,,,,,Shikha,82.94999695,81.51000214,82.05000305
6/5/2015,81.87000275,82.45999908,81.51000214,82.13999939,82.13999939,16143100,,,,,Shikha,82.45999908,81.51000214,82.13999939
6/8/2015,81.81999969,82,80.12999725,80.66999817,80.66999817,16915500,,,,,Shikha,82,80.12999725,80.66999817
6/9/2015,80.59999847,81.19000244,79.31999969,80.66999817,80.66999817,16497500,,,,,Shikha,81.19000244,79.31999969,80.66999817
6/10/2015,80.83000183,82.59999847,80.80999756,82.16000366,82.16000366,21531200,,,,,Shikha,82.59999847,80.80999756,82.16000366
6/11/2015,82.30999756,82.90000153,81.36000061,81.83000183,81.83000183,18656800,,,,,Shikha,82.90000153,81.36000061,81.83000183
6/12/2015,81.37000275,82.08999634,81.19999695,81.52999878,81.52999878,11417900,,,,,Shikha,82.08999634,81.19999695,81.52999878
6/15/2015,80.55000305,80.93000031,80.06999969,80.70999908,80.70999908,18805100,,,,,Gaurav,80.93000031,80.06999969,80.70999908
6/16/2015,80.81999969,81.51000214,80.44999695,81.05999756,81.05999756,13693700,,,,,Pavan,81.51000214,80.44999695,81.05999756
6/17/2015,81.76000214,82.22000122,81.33999634,81.79000092,81.79000092,18350300,,,,,Pavan,82.22000122,81.33999634,81.79000092
6/18/2015,81.63999939,83.19000244,81.56999969,82.91000366,82.91000366,26782600,,,,,Pavan,83.19000244,81.56999969,82.91000366
6/19/2015,82.83000183,82.98000336,82.12000275,82.51000214,82.51000214,23353200,,,,,Pavan,82.98000336,82.12000275,82.51000214
6/22/2015,83.41000366,84.97000122,83.30999756,84.73999786,84.73999786,29383100,,,,,Pavan,84.97000122,83.30999756,84.73999786
6/23/2015,84.95999908,87.97000122,84.76000214,87.87999725,87.87999725,50667900,,,,,Pavan,87.97000122,84.76000214,87.87999725
6/24/2015,87.66000366,89.25,87.44999695,88.86000061,88.86000061,41370200,,,,,,,,
6/25/2015,89.26000214,89.40000153,87.83999634,87.98000336,87.98000336,27302000,,,,,,,,
6/26/2015,88.12000275,88.33999634,86.83000183,88.01000214,88.01000214,38214600,,,,,,,,
6/29/2015,86.61000061,87.5,85.73000336,85.80000305,85.80000305,35957900,,,,,,,,
6/30/2015,86.59999847,86.69999695,85.56999969,85.76999664,85.76999664,23016500,,,,,,,,
7/1/2015,86.76999664,87.94999695,86.48999786,86.91000366,86.91000366,25260000,,,,,,,,
7/2/2015,87.40000153,87.44000244,86.33999634,87.29000092,87.29000092,16908800,,,,,,,,
7/6/2015,86.48999786,88.19000244,86.38999939,87.55000305,87.55000305,24635900,,,,,,,,
7/7/2015,87.80000305,87.84999847,85.23000336,87.22000122,87.22000122,33059900,,,,,,,,
7/8/2015,86.29000092,86.75,85.44999695,85.65000153,85.65000153,24399300,,,,,,,,
7/9/2015,86.73000336,87.59999847,85.65000153,85.87999725,85.87999725,23307400,,,,,,,,
7/10/2015,87.34999847,88.22000122,86.76999664,87.94999695,87.94999695,23245900,,,,,,,,
7/13/2015,88.66000366,90.22000122,88.41999817,90.09999847,90.09999847,29976700,,,,,,,,
7/14/2015,90.45999908,90.80000305,89.65000153,89.68000031,89.68000031,26627800,,,,,,,,
7/15/2015,90,90.98999786,89.41999817,89.76000214,89.76000214,30886600,,,,,,,,
7/16/2015,90.27999878,90.86000061,89.76999664,90.84999847,90.84999847,21804100,,,,,,,,
7/17/2015,92.55000305,95.38999939,92.54000092,94.97000122,94.97000122,54001600,,,,,,,,
7/20/2015,95.84999847,98.59999847,95.36000061,97.91000366,97.91000366,54860500,,,,,,,,
7/21/2015,98.94999695,99.23999786,97.13999939,98.38999939,98.38999939,39453300,,,,,,,,
7/22/2015,96.73999786,97.58000183,95.91999817,97.04000092,97.04000092,28299500,,,,,,,,
7/23/2015,96.95999908,97.44999695,94.80999756,95.44000244,95.44000244,29418800,,,,,,,,
7/24/2015,97.34999847,97.76000214,95.87999725,96.94999695,96.94999695,33444900,,,,,,,,
7/27/2015,96.58000183,96.61000061,93.83000183,94.16999817,94.16999817,38585400,,,,,,,,
7/28/2015,94.83999634,95.55999756,93.30999756,95.29000092,95.29000092,35236000,,,,,,,,
7/29/2015,96.31999969,97.27999878,94.73999786,96.98999786,96.98999786,64648300,,,,,,,,
7/30/2015,94.91000366,95.80999756,91.80000305,95.20999908,95.20999908,86211300,,,,,,,,
7/31/2015,94.94999695,96.33000183,93.94999695,94.01000214,94.01000214,46509000,,,,,,,,
8/3/2015,93.52999878,95.08000183,92.80000305,94.13999939,94.13999939,29343100,,,,,,,,
8/4/2015,93.79000092,94.73000336,93.33000183,94.05999756,94.05999756,20136000,,,,,,,,
8/5/2015,95.25,97.08999634,95.18000031,96.44000244,96.44000244,29813200,,,,,,,,
8/6/2015,97.18000031,98.73999786,94.41999817,95.12000275,95.12000275,42271300,,,,,,,,
8/7/2015,95.37999725,95.40000153,93.61000061,94.30000305,94.30000305,23199100,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
